book_num,sentence
3,"['he', 'transformed', 'great', 'black', 'dog', 'left', 'cave', 'walked', 'back', 'mountainside', 'across', 'boulderstrewn', 'ground', 'back', 'stile']"
3,"['he', 'working', 'flatout', 'get', 'homework', 'though', 'made', 'point', 'sending', 'regular', 'food', 'packages', 'cave', 'mountain', 'sirius', 'last', 'summer', 'harry', 'forgotten', 'felt', 'like', 'continually', 'hungry']"
3,"['lumos', 'dumbledore', 'said', 'lighting', 'wand', 'holding']"
3,"['then', 'dumbledore', 'bent', 'krum', 'pointed', 'wand', 'muttered', 'rennervate']"
3,"['crucio', 'said', 'cold', 'voice']"
3,"['it', 'i', 'suggested', 'mountainside', 'cave', 'safest', 'place', 'stay']"
3,"['bagman', 'pointed', 'wand', 'throat', 'muttered', 'sonorus', 'magically', 'magnified', 'voice', 'echoed', 'stands']"
3,"['he', 'pulled', 'wand', 'muttered', 'lumos', 'heard', 'cedric', 'behind']"
3,"['he', 'summoned', 'happiest', 'thought', 'could', 'concentrated', 'might', 'thought', 'getting', 'maze', 'celebrating', 'ron', 'hermione', 'raised', 'wand', 'cried', 'expecto', 'patronum']"
3,['riddikulus']
3,"['reducto', 'said']"
3,['stupefy']
3,"['impedimenta', 'harry', 'yelled']"
3,['impedimenta']
3,['crucio']
3,"['stupefy', 'harry', 'yelled']"
3,"['stupefy', 'harry', 'yelled', 'spell', 'hit', 'spider', 'gigantic', 'hairy', 'black', 'body', 'good', 'might', 'well', 'thrown', 'stone', 'spider', 'jerked', 'scuttled', 'around', 'ran', 'harry', 'instead']"
3,['stupefy']
3,['impedimenta']
3,['stupefy']
3,"['he', 'could', 'hear', 'cedric', 'yelling', 'stupefy', 'spell', 'effect', 'harry', 'harry', 'raised', 'wand', 'spider', 'opened', 'pincers', 'shouted', 'expelliarmus']"
3,"['without', 'pausing', 'think', 'aimed', 'high', 'spider', 'underbelly', 'done', 'skrewt', 'shouted', 'stupefy', 'cedric', 'yelled', 'thing']"
3,"['a', 'swishing', 'noise', 'second', 'voice', 'screeched', 'words', 'night', 'avada', 'kedavra']"
3,['crucio']
3,['crucio']
3,"['priori', 'incantatem']"
3,"['all', 'learned', 'disarming', 'spell', 'expelliarmus', 'use', 'would', 'deprive', 'voldemort', 'wand', 'even', 'could', 'surrounded', 'death', 'eaters', 'outnumbered', 'least', 'thirty', 'one']"
3,"['he', 'knew', 'facing', 'thing', 'moody', 'always', 'warned', 'unblockable', 'avada', 'kedavra', 'curse', 'voldemort', 'right', 'mother', 'die', 'time']"
3,['imperio']
